_id,Year/Année,Name/Nom,Frequency/Fréquence
894,1919,CARSON,7
895,1919,CECIL,136
896,1919,CHARLES,729
897,1919,CHARLIE,22
898,1919,CHESTER,25
899,1919,CHRISTOPHER,18
900,1919,CLAIR,7
901,1919,CLAIRE,6
902,1919,CLARANCE,10
903,1919,CLARE,11
904,1919,CLARENCE,214
905,1919,CLAUDE,28
906,1919,CLAYTON,56
907,1919,CLEMENT,12
908,1919,CLIFFORD,182
909,1919,CLIFTON,10
910,1919,CLINTON,8
911,1919,CLYDE,9
912,1919,COLIN,15
913,1919,CORNELIUS,5
914,1919,CURTIS,5
915,1919,CYRIL,33
916,1919,DALTON,16
917,1919,DAN,6
918,1919,DANIEL,87
919,1919,DAVID,298
920,1919,DELBERT,32
921,1919,DELMAR,5
922,1919,DELMER,8
923,1919,DENIS,5
924,1919,DENNIS,22
925,1919,DESMOND,5
926,1919,DNALD,5
927,1919,DOMENICO,8
928,1919,DOMINIC,13
929,1919,DON,6
930,1919,DONALD,572
931,1919,DONAT,9
932,1919,DOUGLAS,361
933,1919,DOUGLASS,5
934,1919,DUNCAN,37
935,1919,EARL,214
936,1919,EARLE,24
937,1919,EARNEST,36
938,1919,EDGAR,74
939,1919,EDMOND,20
940,1919,EDMUND,27
941,1919,EDWARD,499
942,1919,EDWIN,96
943,1919,ELDEN,5
944,1919,ELDON,21
945,1919,ELGIN,16
946,1919,ELI,7
947,1919,ELIE,6
948,1919,ELLIS,9
949,1919,ELLWOOD,5
950,1919,ELMER,94
951,1919,ELMORE,8
952,1919,ELVIN,10
953,1919,ELWOOD,23
954,1919,EMERSON,19
955,1919,EMIL,8
956,1919,EMILE,16
957,1919,EMMETT,5
958,1919,EORGE,9
959,1919,ERIC,63
960,1919,ERNEST,268
961,1919,ERROL,6
962,1919,ERVIN,7
963,1919,ERWIN,10
964,1919,EUGENE,54
965,1919,EVAN,7
966,1919,EVERETT,26
967,1919,EWART,6
968,1919,FELIX,14
969,1919,FERDINAND,9
970,1919,FERNAND,6
971,1919,FLOYD,37
972,1919,FORD,5
973,1919,FRANCES,14
974,1919,FRANCESCO,6
975,1919,FRANCIS,319
976,1919,FRANCOIS,12
977,1919,FRANK,298
978,1919,FRANKLIN,44
979,1919,FRASER,6
980,1919,FRED,58
981,1919,FREDDIE,7
982,1919,FREDERIC,15
983,1919,FREDERICK,361
984,1919,FREDRICK,71
985,1919,GABRIEL,5
986,1919,GARFIELD,13
987,1919,GARNET,54
988,1919,GEOFFREY,9
989,1919,GEORGE,1107
990,1919,GERALD,184
991,1919,GERARD,24
992,1919,GILBERT,49
993,1919,GIOVANNI,8
994,1919,GLEN,36
995,1919,GLENDON,5
996,1919,GLENN,16
997,1919,GODFREY,5
998,1919,GORDEN,12
999,1919,GORDON,559
1000,1919,GRAHAM,10
1001,1919,GRANT,27
1002,1919,GREGORY,9
1003,1919,GRENVILLE,6
1004,1919,GUIDO,5
1005,1919,GUISEPPE,10
1006,1919,GUY,14
1007,1919,HAMILTON,5
1008,1919,HARLEY,8
1009,1919,HAROLD,599
1010,1919,HARRISON,7
1011,1919,HARRY,304
1012,1919,HARVEY,102
1013,1919,HARVIE,5
1014,1919,HECTOR,24
1015,1919,HENRI,19
1016,1919,HENRY,214
1017,1919,HERBERT,208
1018,1919,HERMAN,28
1019,1919,HILTON,9
1020,1919,HOMER,8
1021,1919,HORACE,29
1022,1919,HOWARD,229
1023,1919,HUBERT,32
1024,1919,HUGH,122
1025,1919,HUGHIE,6
1026,1919,IAN,18
1027,1919,IRA,10
1028,1919,IRVIN,11
1029,1919,IRVINE,5
1030,1919,IRVING,8
1031,1919,IRWIN,13
1032,1919,ISAAC,21
1033,1919,ISIDORE,8
1034,1919,ISRAEL,10
1035,1919,IVAN,53
1036,1919,J,1858
1037,1919,JACK,283
1038,1919,JACKIE,5
1039,1919,JACKSON,7
1040,1919,JACOB,26
1041,1919,JAKE,5
1042,1919,JAMES,1272
1043,1919,JEAN,79
1044,1919,JEROME,20
1045,1919,JESSE,10
1046,1919,JIM,6
1047,1919,JOE,15
1048,1919,JOHN,2407
1049,1919,JOSEPH,400
1050,1919,JOSEPHAT,8
1051,1919,JULIEN,6
1052,1919,KARL,20
1053,1919,KEITH,50
1054,1919,KENETH,7
1055,1919,KENNETH,406
1056,1919,LAURENCE,19
1057,1919,LAURENT,13
1058,1919,LAURIER,5
1059,1919,LAVERNE,6
1060,1919,LAWRENCE,160
1061,1919,LENARD,10
1062,1919,LEO,104
1063,1919,LEON,18
1064,1919,LEONARD,191
